"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"+ Ref_Res -,Thermocouple";"PinHeader_1x02_P2.54mm_Vertical";2;"PinHeader_1x02_P2.54mm_Vertical";;;
2;"STM_CN10,STM_CN7";"PinHeader_2x19_P2.54mm_Vertical";2;"PinHeader_2x19_P2.54mm_Vertical";;;
3;"J1,J3,J2,J1";"PinHeader_1x02_P2.54mm_Horizontal";4;"Conn_01x02_Pin";;;
4;"C26,C16,C32";"CAP_C1206C-X7R-EB_KEM";3;"10pF";;;
5;"RB2,R_sink3,R_sink2,RB1,RB3,RB4,RB5,RB6,R_sink1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";;;
6;"C40,C39,C36,C41,C38";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"0.01uF";;;
7;"M1,M2";"2N7002NXAKR";2;"TO-236AB_SOT23_NEX";;;
8;"C3,C31,C28,C4,C2,C18";"CAPC6153X390N";6;"22uF";;;
9;"L1,L2";"IND_DFE322512F_MUR";2;"3.3uH";;;
10;"C13,C23,C1";"CAPC3216X180N";3;"4.7uF";;;
11;"R23";"RESC3116X65N";1;"100k";;;
12;"PB-5,PB-4,PB-6,PB-3,PB-1,PB-2";"SW_1825967-2";6;"SW_1825967-2";;;
13;"R32";"RESC3116X60N";1;"1.05M";;;
14;"Rref,Rh2,Rh1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";3;"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";;;
15;"R11,R21";"RES_ERJ14NF4122U";2;"41.2k";;;
16;"RTD";"PinHeader_1x03_P2.54mm_Vertical";1;"PinHeader_1x03_P2.54mm_Vertical";;;
17;"D2,D1";"BAT54HT1G";2;"CR_SOD-323_2L_ONS";;;
18;"MAX31856";"PinHeader_1x09_P2.54mm_Vertical";1;"PinHeader_1x09_P2.54mm_Vertical";;;
19;"C35,C30,C37";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1uF";;;
20;"C17,C34,C27";"CAPC3216X180N";3;"1uF";;;
21;"C29,C33,C7,C19,C6,C5";"CAPC3216X100N";6;"0.1uF";;;
22;"R31";"RESC3116X65N";1;"60.4k";;;
23;"Relays";"LAA108STR";1;"LAA108STR";;;
24;"MAX31865";"QFN65P500X500X80-21N_MAXRTD_Pinless";1;"QFN65P500X500X80-21N_MAXRTD_Pinless";;;
25;"R13";"RESC3116X60N";1;"243k";;;
26;"C25,C15";"CAPC3216X100N";2;"1nF";;;
27;"SD_Reader";"CUI_MSD-3-A";1;"CUI_MSD-3-A";;;
28;"TFT_DISPLAY_Pinout";"PinHeader_1x14_P2.54mm_Vertical";1;"PinHeader_1x14_P2.54mm_Vertical";;;
29;"MAX31865";"PinHeader_1x08_P2.54mm_Vertical";1;"PinHeader_1x08_P2.54mm_Vertical";;;
30;"R33";"RESC3116X65N";1;"120k";;;
31;"Rref";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4kohm";;;
32;"U2,U1";"CONV_LT8640SEV_PBF";2;"LT8640SEV_PBF";;;
33;"U3";"05-08-1699_ADI";1;"LT8619EDD-TRPBF";;;
34;"Connector";"0430451000";1;"0430451000";;;
35;"R12";"RESC3116X65N";1;"1M";;;
36;"GPS_Pinout";"PinHeader_1x05_P2.54mm_Vertical";1;"PinHeader_1x05_P2.54mm_Vertical";;;
37;"MAX31856";"SOP65P640X110-14N";1;"SOP65P640X110-14N";;;
38;"R22";"RESC3116X60N";1;"240k";;;
39;"L3";"IND_BOURNS_SRR6038";1;"10uH";;;
